Deep size	Num units	Learning rate	Accuracy	Tiempo de ejecución
7	55	0.0001	0.9668999910354614	42.44216966629028
5	89	5e-05	0.9668999910354614	42.25080156326294
6	89	0.001	0.9668999910354614	35.88780951499939
9	16	0.0005	0.9668999910354614	22.296025276184082
5	42	0.0001	0.9668999910354614	22.054237842559814
6	4	0.01	0.9668999910354614	21.868459224700928
3	68	0.0001	0.9668999910354614	21.68679976463318
9	89	5e-05	0.9667999744415283	83.65845036506653
8	55	0.0005	0.9667999744415283	30.940943479537964
9	8	0.005	0.9667999744415283	22.772655487060547
7	6	0.05	0.9667999744415283	22.550455570220947
7	21	0.01	0.9667999744415283	22.53862452507019
2	8	0.001	0.9667999744415283	21.635956048965454
4	26	0.01	0.9667999744415283	18.65423274040222
8	8	0.0005	0.9667999744415283	18.604666709899902
6	8	0.001	0.9667999744415283	17.789557456970215
2	13	0.005	0.9667999744415283	11.716682434082031
4	8	0.005	0.9667999744415283	11.381879806518555
7	89	0.005	0.96670001745224	43.036628007888794
8	68	0.0001	0.96670001745224	42.58609199523926
7	21	0.0001	0.96670001745224	42.46940779685974
9	42	0.01	0.96670001745224	27.768888235092163
8	31	0.01	0.96670001745224	22.60150408744812
5	42	0.005	0.96670001745224	22.12151002883911
5	6	0.001	0.96670001745224	21.985429525375366
2	10	0.0005	0.96670001745224	21.656630277633667
2	5	0.005	0.96670001745224	14.805769443511963
5	5	0.01	0.96670001745224	11.375235557556152
9	89	0.005	0.9666000008583069	27.958804845809937
4	42	0.01	0.9666000008583069	22.179893732070923
4	16	0.001	0.9666000008583069	21.624430179595947
5	31	0.0001	0.9666000008583069	20.85682463645935
6	10	0.0005	0.9666000008583069	19.75057339668274
2	5	0.001	0.9666000008583069	15.244800567626953
3	55	0.01	0.9666000008583069	15.182209730148315
6	26	0.005	0.9666000008583069	13.69436001777649
7	68	5e-05	0.9664999842643738	42.4149272441864
5	55	0.0005	0.9664999842643738	42.247477293014526
4	55	0.0001	0.9664999842643738	42.21912598609924
5	13	0.01	0.9664999842643738	22.11659598350525
5	5	0.001	0.9664999842643738	21.814770936965942
6	42	5e-05	0.9664000272750854	23.321492195129395
4	42	0.0001	0.9664000272750854	21.72988510131836
2	4	0.01	0.9664000272750854	21.538751363754272
9	26	0.001	0.9663000106811523	42.704086780548096
8	68	5e-05	0.9663000106811523	42.69414162635803
5	55	0.0001	0.9663000106811523	42.229592084884644
9	55	0.0001	0.9663000106811523	32.24720525741577
6	68	0.0001	0.9663000106811523	29.022730588912964
9	21	0.005	0.9663000106811523	25.1401629447937
4	8	0.0005	0.9663000106811523	21.64059066772461
8	5	0.0005	0.9663000106811523	19.578389644622803
2	31	0.005	0.9663000106811523	17.15110206604004
5	4	0.01	0.9663000106811523	15.765073776245117
8	26	0.05	0.9663000106811523	14.334716796875
6	42	0.001	0.9661999940872192	42.34966492652893
3	42	0.01	0.9661999940872192	22.00636911392212
4	5	0.0005	0.9661999940872192	21.84933853149414
5	26	0.01	0.9661999940872192	21.802630186080933
8	42	0.01	0.9661999940872192	21.049845695495605
6	6	0.0005	0.9661999940872192	17.64311909675598
8	55	5e-05	0.9660999774932861	31.106289386749268
8	26	0.0001	0.9660999774932861	23.443415880203247
6	26	0.01	0.9660999774932861	22.975069284439087
9	10	0.0005	0.9660999774932861	22.819767951965332
8	8	0.001	0.9660999774932861	22.59185767173767
8	13	0.01	0.9660999774932861	21.87496328353882
4	3	0.1	0.9660999774932861	21.807113647460938
4	21	0.01	0.9660999774932861	21.795258045196533
5	10	0.0005	0.9660999774932861	21.670773029327393
4	10	0.001	0.9660999774932861	17.97642207145691
5	8	0.0005	0.9660999774932861	16.3839910030365
2	8	0.0005	0.9660999774932861	14.642215013504028
3	4	0.01	0.9660999774932861	11.44772744178772
9	26	0.0001	0.9660000205039978	42.803125619888306
6	31	0.001	0.9660000205039978	21.681425094604492
5	10	0.005	0.9659000039100647	43.25438737869263
4	89	5e-05	0.9659000039100647	42.227919578552246
9	42	0.0001	0.9659000039100647	28.74756646156311
7	31	0.0001	0.9659000039100647	23.084977626800537
8	10	0.05	0.9659000039100647	17.614975929260254
2	89	0.0001	0.9657999873161316	41.990888357162476
9	68	5e-05	0.9657999873161316	37.479613304138184
6	55	0.0001	0.9657999873161316	26.395683526992798
3	10	0.0005	0.9657999873161316	22.167701244354248
5	4	0.0005	0.9657999873161316	21.757925987243652
8	42	0.001	0.9657999873161316	16.589378595352173
5	68	5e-05	0.9656999707221985	42.26488780975342
9	55	5e-05	0.9656999707221985	31.734143495559692
8	31	0.001	0.9656999707221985	25.277655363082886
3	5	0.01	0.9656999707221985	22.786303281784058
9	6	0.0005	0.9656999707221985	22.786114931106567
7	8	0.0005	0.9656999707221985	19.507229566574097
5	13	0.0005	0.9656999707221985	18.737384557724
7	42	0.0005	0.9656000137329102	43.05701017379761
7	55	5e-05	0.9656000137329102	43.017529010772705
